"SDU_ID","connect_rs","agreement1","agreement2","agreement3"
1531,0.125,0.016723467906041,0.141723467906041,0.140655318656699
1532,0.1,0.752038109350553,0.852038109350553,0.826464953613119
1533,0.125,1.49439313568871,1.61939313568871,1.57100042998382
1534,0.285714285714285,1.05713046481002,1.34284475052431,1.29883561668865
1565,0,0.00187679422966,0.00187679422966,0.001738073556944
1566,0.25,0.609648558890046,0.859648558890046,0.846144100915156
1567,0.0625,0.528878280592048,0.591378280592048,0.581355712266052
1568,0.291666666666668,1.30219366509272,1.59386033175939,1.55985989446017
1569,0.333333333333332,1.24864919931409,1.58198253264742,1.52706301575035
1600,0,0.440962715514124,0.440962715514124,0.44049106522689
1602,0.25,0.466032400719506,0.716032400719506,0.704012254012106
1603,0.333333333333332,0.584375700962094,0.917709034295426,0.904530570734577
1604,0.178571428571428,1.00271957271052,1.18129100128195,1.14110362558996
1605,0.28125,1.59886000148191,1.88011000148191,1.82527372066824
1606,0.166666666666667,0.499464143577721,0.666130810244388,0.661192354503996
1638,0.166666666666667,0.536246302469104,0.702912969135771,0.692397942699353
1639,0.3,0.876727366892777,1.17672736689278,1.14617413831055
1640,0.375,0.925996139092698,1.3009961390927,1.2669957039458
1641,0.25,0.812232264885975,1.06223226488597,1.03636085866076
1672,0,0.478137980346589,0.478137980346589,0.475953129543027
1674,0,0.427426597469109,0.427426597469109,0.420677836810917
1675,0.375,1.07855701187415,1.45355701187415,1.41051892115062
1676,0.392857142857143,0.890734574255743,1.28359171711289,1.24922366947554
1677,0.21875,1.10268469370908,1.32143469370908,1.27422111594404
1710,0.208333333333333,0.808842202579506,1.01717553591284,0.989098472310603
1711,0.2,0.88371061453507,1.08371061453507,1.0542532804476
1712,0.5,1.22562088081944,1.72562088081944,1.67202615176231
1746,0,0.588960045759299,0.588960045759299,0.579464616475631
1747,0.25,0.921592144713406,1.17159214471341,1.13552477133476
1748,0.392857142857143,0.867060372888276,1.25991751574542,1.22858745264572
1749,0.25,0.825937040368671,1.07593704036867,1.04862294088295
1780,0,0.60243757649297,0.60243757649297,0.602215623416624
1782,0.125,0.734000204751622,0.859000204751622,0.83772045411246
1783,0.291666666666668,1.08027521155251,1.37194187821918,1.32971530829112
1784,0.375,1.13963775474457,1.51463775474457,1.46466363184327
1818,0,0.224233077409192,0.224233077409192,0.224233077409192
1819,0.125,0.769357179170626,0.894357179170626,0.865537959413922
1820,0.5,0.971510528842403,1.4715105288424,1.43377157371814
1821,0.3125,0.656717610221657,0.969217610221657,0.954027696350989
