"SDU_ID","baselin","prt_crl","pxl_cnt","area_ha","prt_cr_","cv","lob","rec","targ","sum","sum_pop","cv_rs","rec_rs","lob_rs","targ_rs","target","bio","bio_kg_ha","bio_total","est_catch","ID","f","est_catch_rs"
150,999.999941142,5.8857535014e-05,11093,998.37,1.8,0,8.468,0.00011,19868,1,1,0,6.405478e-09,0.000280093562497,0.000650423757089,NA,1582.45833333333,158.245833333333,284.842499999999,51.0735455095464,1,0.17930451217619,0.00143679159709275
260,999.999983897,1.6103475718e-05,11158,1004.22,6.48,0,30.484798,0.005612,58034,1,1,0,8.65989369e-07,0.001044404130467,0.002053627256781,NA,1177.31408775982,117.731408775982,762.899528868363,146.693125451354,2,0.192283675504361,0.00412674404913565
267,999.999952572,4.7427807805e-05,11158,1004.22,2.43,0,11.4318,0.005329,40841,1,1,0,8.21775948e-07,0.000382981532917,0.001421512867791,NA,2077.7037037037,207.77037037037,504.881999999999,82.5173474021354,3,0.163438877603352,0.00232136285387924
296,999.999984511,1.5489354777e-05,11092,998.28,6.75,0,31.755001,0.004985,61138,1,1,0,7.68032426e-07,0.001088499079077,0.002167748298102,NA,1327.68323863636,132.768323863636,896.186186079543,168.004854841303,4,0.187466463387767,0.00472628170412907
304,999.999999018,9.81876686e-07,11095,998.55,133.56,0,628.325562,0.30507,2668074,1,1,0,4.7650662744e-05,0.021798376342428,0.098013834308528,NA,2507.60053440214,250.760053440214,33491.512737475,5012.56562161787,5,0.149666742762835,0.141012574967415
332,999.999987998,1.2001880992e-05,11094,998.46,8.73,0,41.069798,0.00469,77468,1,1,0,7.21944231e-07,0.001411861167679,0.002768133802215,NA,1108.39931034483,110.839931034483,967.632597931037,188.196240813095,6,0.194491422896966,0.00529430206395516
339,999.999999019,9.80786702e-07,11093,998.37,125.1,0,588.526001,0.628862,2002596,1,1,0,9.8237065383e-05,0.020416739236394,0.073547003659043,NA,1976.01918976546,197.601918976546,24720.0000639659,4120.73583996071,7,0.166696433224022,0.115923783430854
340,999.999997709,2.291358978e-06,11093,998.37,64.8,0,304.847961,0.118504,1741130,1,1,0,1.8503238488e-05,0.010568889250535,0.063933997154548,NA,3269.52361111111,326.952361111111,21186.513,2653.7769830573,8,0.125257846020121,0.0746555664341376
375,999.999999092,9.08076584e-07,11159,1004.31,149.85,0,704.960941,0.37128,3265432,1,1,0,5.7994728437e-05,0.024458764562826,0.119976178703256,NA,2553.7745039086,255.37745039086,38268.3109410704,5670.88600779866,9,0.148187517774989,0.159532323099696
376,999.999999509,4.91490211e-07,11160,1004.4,260.73,0,1226.589783,1.208455,4416022,1,1,0,0.000188787557257,0.042567048814626,0.162278539828629,NA,2140.74707792208,214.074707792208,55815.6985626624,9009.72685711047,10,0.161419225936867,0.253459980333216
377,999.999611556,0.000388443647561,11159,1004.31,0.36,0,1.6936,0.000623,8580,1,1,0,8.6552068e-08,4.4921058682e-05,0.000235411413523,NA,3118,311.8,112.248,14.6048165260321,11,0.130112042317298,0.00041086001475582
410,999.999997286,2.713973501e-06,11093,998.37,43.47,0,204.502182,0.080226,659178,1,1,0,1.2523021805e-05,0.007085397266784,0.024155166968018,NA,1738.67012448133,173.867012448133,7557.99903112034,1317.3601817684,12,0.174300125779869,0.0370597345577983
411,999.999999438,5.62241995e-07,11093,998.37,228.06,0,1072.895538,2.117794,3956941,1,1,0,0.00033085465215,0.037231571072147,0.145400059876781,NA,2146.53615171869,214.653615171869,48953.9034760964,7893.02230145206,13,0.16123376770774,0.222045052977031
412,999.999999238,7.61509783e-07,11094,998.46,418.05,3.631584,1966.69281,14.381653,7703670,1,1,0.591866991991768,0.002246851678893,0.068259638850768,0.283151546676517,NA,2356.23311867525,235.623311867525,98502.3255262188,15220.1789479823,14,0.154515935199226,0.428171277332244
441,999.999945561,5.4439050841e-05,11092,998.28,1.89,0,8.8914,0.000298,16646,1,1,0,3.5776938e-08,0.000294791843986,0.00053196435144,NA,944.951388888889,94.4951388888889,178.5958125,35.6705175173766,15,0.199727625290076,0.00100347644404944
446,999.999994762,5.237725053e-06,11093,998.37,21.96,0,103.309593,0.076377,316139,1,1,0,1.1921688036e-05,0.003572508372907,0.011543063909511,NA,1666.43307086614,166.643307086614,3659.48702362204,646.317758444127,16,0.176614305303486,0.0181820924143747
447,999.999999536,4.63969198e-07,11092,998.28,274.05,0,1289.25293,6.244568,4433609,1,1,0,0.000975585377938,0.044742392635028,0.162925139942581,NA,2005.13205086404,200.513205086404,54950.643853929,9108.82623625416,17,0.165763776316569,0.256247825856964
448,999.999998733,1.267180853e-06,11095,998.55,282.51,2.489291,1329.05249,6.531392,6041927,1,1,0.405698773968103,0.001020396226726,0.046124029706347,0.222056236893222,NA,2600.52832438879,260.052832438879,73467.5256923077,10776.9305330508,18,0.146689716735338,0.303174629406637
449,439.575898458,560.424101542,11094,998.46,258.12,4.961988,1214.311035,3.324251,4762100,1,1,0.808693096967948,0.000519340839482,0.042140793513658,0.175002374151496,1,2017.15125911199,201.715125911199,52066.7083001987,8610.72609814556,19,0.165378730080248,0.242235364301668
482,999.999999316,6.8396524e-07,11159,1004.31,179.64,0,845.106323,0.853197,2737429,1,1,0,0.000133285184658,0.029323895110636,0.100563726325537,NA,1850.43338360985,185.043338360985,33241.1853031673,5674.92479755905,20,0.170719688416716,0.159645941591075
